[2021-11-22T14:16:18.090] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T14:16:18.091] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T14:16:18.091] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T14:16:18.091] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T14:16:18.091] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T14:16:18.091] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T14:16:18.091] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T14:16:18.091] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T14:16:18.091] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T14:16:18.091] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T14:16:23.108] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T14:16:23.108] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T14:16:23.108] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T14:16:23.108] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T14:16:23.108] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T14:16:23.108] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T14:16:23.109] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T14:16:23.109] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T14:16:23.109] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T14:16:23.109] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T14:16:23.109] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T14:16:23.109] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T14:16:26.283] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T14:16:26.283] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T14:16:26.284] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T14:16:26.284] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T14:16:26.284] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T14:16:26.284] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T14:16:26.284] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T14:16:26.284] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T14:16:26.284] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T14:16:26.284] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T14:16:26.284] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T14:16:26.284] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T16:21:42.865] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T16:21:42.872] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T16:21:42.872] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T16:21:42.873] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T16:21:42.873] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T16:21:42.873] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T16:21:42.874] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T16:21:42.874] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T16:21:42.874] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T16:21:42.874] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T16:21:42.874] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T16:21:42.875] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T16:22:13.376] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T16:22:13.377] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T16:22:13.377] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T16:22:13.378] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T16:22:13.378] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T16:22:13.378] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T16:22:13.378] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T16:22:13.379] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T16:22:13.379] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T16:22:13.379] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T16:22:13.379] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T16:22:13.379] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-23T14:51:15.482] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-23T14:51:15.484] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-23T14:51:15.484] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-23T14:51:15.485] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-23T14:51:15.485] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-23T14:51:15.485] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-23T14:51:15.486] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-23T14:51:15.486] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-23T14:51:15.486] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-23T14:51:15.486] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-23T14:51:15.486] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-23T14:51:15.486] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-23T16:08:20.921] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-23T16:08:20.922] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-23T16:08:20.922] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-23T16:08:20.923] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-23T16:08:20.923] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-23T16:08:20.923] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-23T16:08:20.923] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-23T16:08:20.923] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-23T16:08:20.924] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
